Makes & Models,Vehicle Product,Daily Fuel VKT,Lifetime fuel use (L),Fuel costs (￥),Total energy costs (￥),Electricity costs (￥),Total charg costs (￥)
Sedan,PHEV,,,,,,
SUV,PHEV,,,,,,
