,,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,Personal vehicles,,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,Fleet vehicles,,,,,,
,,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,Sedan,SUV&Crossover&MPV,,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,SUV&Crossover&MPV,,,,,,
,Year,ICEV,ICEV-Low,PHEV,BEV-Sht,BEV-Mid,BEV-Lng,FCEV,ICEV,ICEV-Low,PHEV,BEV-Sht,BEV-Mid,BEV-Lng,FCEV,Year,ICEV,ICEV-Low,PHEV,BEV-Sht,BEV-Mid,BEV-Lng,FCEV,ICEV,ICEV-Low,PHEV,BEV-Sht,BEV-Mid,BEV-Lng,FCEV,,Adjustment,Adjustment,Adjustment,Weight,Weight
,2027," 14,322 "," 13,842 "," 30,173 "," 206,382 "," 183,588 "," 80,740 "," 1,000,000 ", -   ," 8,191 "," 15,545 "," 211,887 "," 147,140 "," 73,717 "," 1,000,000 ",2027, -   ," 38,031 "," (35,139)"," 285,264 "," 179,124 "," (93,963)"," 1,000,000 "," (55,849)", (276)," (46,739)"," 353,665 "," 167,566 "," (82,997)"," 1,000,000 ",12,, -   ,,,
,2028," 14,065 "," 13,241 "," 28,877 "," 204,101 "," 180,671 "," 75,739 "," 1,000,000 ", -   ," 6,827 "," 14,689 "," 209,507 "," 143,886 "," 70,312 "," 1,000,000 ",2028, -   ," 36,377 "," (38,211)"," 313,477 "," 191,888 "," (96,301)"," 1,000,000 "," (56,015)"," (2,859)"," (47,715)"," 384,788 "," 183,130 "," (77,781)"," 1,000,000 ",13,, -   ,,,
,2029," 13,832 "," 12,639 "," 27,741 "," 202,013 "," 178,012 "," 71,417 "," 1,000,000 ", -   ," 5,691 "," 13,939 "," 207,327 "," 140,938 "," 67,301 "," 1,000,000 ",2029, -   ," 34,722 "," (41,055)"," 339,597 "," 203,705 "," (98,465)"," 1,000,000 "," (56,182)"," (5,442)"," (48,631)"," 413,591 "," 197,528 "," (72,964)"," 1,000,000 ",14,, -   ,,,
,2030," 13,619 "," 12,037 "," 26,737 "," 200,089 "," 175,572 "," 67,640 "," 1,000,000 ", -   ," 4,743 "," 13,275 "," 205,319 "," 138,247 "," 64,613 "," 1,000,000 ",2030, -   ," 33,067 "," (43,703)"," 363,915 "," 214,707 "," (100,479)"," 1,000,000 "," (56,349)"," (8,025)"," (49,495)"," 440,395 "," 210,921 "," (68,491)"," 1,000,000 ",15,, -   ,,,
,2031," 13,422 "," 11,435 "," 25,841 "," 198,306 "," 173,319 "," 64,310 "," 1,000,000 ", -   ," 3,953 "," 12,683 "," 203,457 "," 135,777 "," 62,196 "," 1,000,000 ",2031, -   ," 31,413 "," (46,180)"," 386,663 "," 224,999 "," (102,364)"," 1,000,000 "," (56,516)"," (10,608)"," (50,314)"," 465,457 "," 223,438 "," (64,318)"," 1,000,000 ",16,, -   ,,,
,2032," 13,239 "," 10,833 "," 25,036 "," 196,646 "," 171,230 "," 61,350 "," 1,000,000 ", -   ," 3,295 "," 12,151 "," 201,724 "," 133,496 "," 60,007 "," 1,000,000 ",2032, -   ," 29,758 "," (48,506)"," 408,031 "," 234,666 "," (104,134)"," 1,000,000 "," (56,682)"," (13,191)"," (51,094)"," 488,989 "," 235,186 "," (60,408)"," 1,000,000 ",17,, -   ,,,
,2033," 13,070 "," 10,231 "," 24,308 "," 195,094 "," 169,283 "," 58,701 "," 1,000,000 ", -   ," 2,747 "," 11,669 "," 200,104 "," 131,382 "," 58,015 "," 1,000,000 ",2033, -   ," 28,103 "," (50,700)"," 428,177 "," 243,780 "," (105,803)"," 1,000,000 "," (56,849)"," (15,774)"," (51,838)"," 511,166 "," 246,253 "," (56,731)"," 1,000,000 ",18,, -   ,,,
,2034," 12,911 "," 9,630 "," 23,646 "," 193,637 "," 167,461 "," 56,314 "," 1,000,000 ", -   ," 2,289 "," 11,231 "," 198,583 "," 129,412 "," 56,191 "," 1,000,000 ",2034, -   ," 26,448 "," (52,775)"," 447,234 "," 252,402 "," (107,381)"," 1,000,000 "," (57,016)"," (18,357)"," (52,551)"," 532,135 "," 256,712 "," (53,261)"," 1,000,000 ",19,, -   ,,,
,2035," 12,763 "," 9,028 "," 23,041 "," 192,266 "," 165,752 "," 54,153 "," 1,000,000 ", -   ," 1,908 "," 10,831 "," 197,151 "," 127,571 "," 54,514 "," 1,000,000 ",2035, -   ," 24,794 "," (54,744)"," 465,313 "," 260,581 "," (108,879)"," 1,000,000 "," (57,183)"," (20,940)"," (53,237)"," 552,020 "," 266,626 "," (49,979)"," 1,000,000 ",20,, -   ,,,
,2036," 12,623 "," 8,426 "," 22,484 "," 190,970 "," 164,142 "," 52,185 "," 1,000,000 ", -   ," 1,590 "," 10,464 "," 195,798 "," 125,844 "," 52,965 "," 1,000,000 ",2036, -   ," 23,139 "," (56,616)"," 482,510 "," 268,361 "," (110,304)"," 1,000,000 "," (57,349)"," (23,523)"," (53,896)"," 570,926 "," 276,049 "," (46,865)"," 1,000,000 ",21,, -   ,,,
